,reward
0,60.95773838536643
1,-38.158907492845834
2,-40.30154751407725
3,-38.09112868813788
4,-39.099594640133446
5,-37.957952573980585
6,-37.97466961714021
7,76.94781983950426
8,-38.24077971982722
9,-38.54809500348983
10,-40.33069700117126
11,-39.29083654870013
12,-38.493530839202634
13,67.43671462716878
14,-39.96773564101788
15,79.51927564579147
16,83.32051975666627
17,72.7669478680508
18,-39.16763063355085
19,-39.11428052665596
20,-38.443402479752905
21,77.04398798995724
22,-37.65445043419619
23,-40.858597658485394
24,70.26493201674323
25,78.2667843777536
26,-41.178052321140186
27,75.30901550193721
28,-38.192368309246746
29,-39.11331186634566
30,73.64782227103629
31,79.64682530729837
32,67.12453573129923
33,78.60853409366537
34,69.38790512064483
35,80.63051987978932
36,86.91503784561804
37,-38.954031303255846
38,75.36600206039058
39,-37.925844992369015
40,-39.33530076522674
41,-37.290962071858644
42,-37.26520793411656
43,79.97911677470105
44,-37.30099946713243
45,-39.29925287332246
46,-41.14646046968501
47,-39.7645752893971
48,78.47674319736353
49,82.1882453635277
50,-16.293909111603487
51,-13.131419444172806
52,-14.229322282865787
53,-16.484547466795583
54,-12.298632029514422
55,-12.750489716411881
56,94.79435688524016
57,91.05914669241331
58,-14.074108937154815
59,-18.33496967919732
60,-16.158892981247437
61,-13.466432356268584
62,94.87580388212093
63,-15.393259640661217
64,-12.751395519450261
65,90.7952369208717
66,-14.813450240595712
67,94.2058555727686
68,85.28778479394464
69,-12.30702850020524
70,-13.88856455435921
71,-12.718566082352037
72,84.08486589863166
73,95.44444969085194
74,91.54168622835869
75,-15.162719655906072
76,-13.227602225513719
77,-13.988460695249685
78,-15.183571779260772
79,-14.030208538817373
80,90.86008094096898
81,-11.938051459629571
82,87.96996167883172
83,87.57672033753794
84,96.26154556758561
85,-14.567675503261025
86,92.0193495511573
87,-14.109411592410908
88,91.46829828020755
89,94.65345049398427
90,94.43805610643062
91,-13.499173587114985
92,85.79361487140314
93,-11.985907028774626
94,89.68819523812171
95,-13.49473644612988
96,-18.277417072449527
97,-12.466835951966626
98,86.42711735745567
99,-14.892677350698058
100,84.1866469573564
101,-13.021798907266291
102,-12.072149711522348
103,-12.372418895485698
104,-16.334735446822805
105,-13.559573432960562
106,88.64269344116546
107,-12.811956505548709
108,92.91090026123227
109,86.24292009536113
110,-15.029739095595104
111,-16.101881718679024
112,-13.003342106746297
113,-14.758244795494894
114,-14.890567166815437
115,-13.195260433613786
116,-12.674220586639676
117,-17.121236122980118
118,-13.986132460888554
119,-16.28596119551619
120,-14.415710398439414
121,91.69876323721458
122,-15.131725372413134
123,-13.579835036233526
124,-13.594721098935153
125,-13.05185672607318
126,86.84440411693527
127,-13.342197023013934
128,-13.28907478807251
129,-15.318296896035294
130,-13.854607703002108
131,-12.415335348734802
132,92.50358288529824
133,-12.746692588953003
134,-12.693677934231502
135,-15.212698811841056
136,-14.393809469072268
137,-13.265939226542521
138,89.98516153843472
139,-16.583639769424106
140,-16.452825239078646
141,-15.05233606045843
142,-13.985092577512264
143,-15.084470333114162
144,-12.470135830731552
145,-12.443862110971045
146,-12.090907520596286
147,-16.19419272136976
148,-13.024999234851215
149,-15.436688077955267
150,-15.159929604400238
151,93.01732204550292
152,-14.609927291116795
153,-14.205715106619623
154,-12.397480140368211
155,92.64312541498981
156,-12.915676409025616
157,-17.259783401060318
158,-12.789262132296646
159,-12.649602267123859
160,-14.592324771928853
161,-14.79902592970467
162,-15.40703992113665
163,-14.724984457560627
164,-14.966837929585964
165,-12.781126931198253
166,87.72805743041332
167,87.4314811490308
168,-14.724467970094619
169,-14.541333357488645
170,-12.173348580298425
171,92.33970839666357
172,89.13996306210689
173,-12.826350757298899
174,-16.12622594177612
175,-12.773433418961558
176,-13.765234714364002
177,-14.660386638801517
178,-16.358629346115563
179,91.37768756131811
180,-17.505610391788768
181,-13.87736817140455
182,-12.110607257531132
183,-14.80387006698619
184,-15.11890273490948
185,-13.70562918992252
186,-14.579703088015721
187,-14.910900633816915
188,90.72451705762283
189,-14.908854635308481
190,-14.252355255695157
191,-14.968708087634598
192,92.59458317541427
193,93.25632155082097
194,-17.571450945061155
195,-15.003168956091795
196,85.92647570977724
197,91.35333929975612
198,-14.286143283956642
199,-12.88707404226029
200,-15.84026344075169
201,-13.447233366878566
202,-14.604468750430984
203,-14.969851084717002
204,-13.898965481807405
205,95.40385485835493
206,88.38685370213133
207,-12.880748437384375
208,-15.182063175092317
209,-12.48700379903758
210,-12.53309619927782
211,-14.828005713825751
212,-15.005948465273644
213,-12.670727983886593
214,86.60055466907195
215,90.975279975637
216,87.6741432454852
217,-13.796377280468695
218,-15.815801910652015
219,86.00587774068664
220,-17.13279152902013
221,-14.446918071940672
222,89.66477979703505
223,-17.027247819013688
224,-14.573565683550019
225,-14.831277808051489
226,-13.379172037689766
227,-12.54844682075103
228,-14.811741622184721
229,91.0321686766876
230,-14.449551396974124
231,-14.092726170555425
232,-13.858645004636058
233,-12.333859812915554
234,-14.356369550864743
235,-12.206348146310733
236,-15.990117407526183
237,-13.49352170980535
238,94.29658985560408
239,-13.95339815287773
240,-16.18250051764735
241,-13.788729628205965
242,-14.473546420641723
243,-14.604446452569507
244,-14.206911480923655
245,-17.405036334805867
246,88.73681486783198
247,-13.999062617479714
248,-14.59314138264957
249,-15.233748817661356
250,-13.629799135493366
251,-16.729670400389853
252,-12.88206579309955
253,86.2469189006591
254,-14.747321987077742
255,-14.62098653406528
256,-17.082480476047902
257,-16.760825160951338
258,-13.214111239583724
259,-12.371930295547312
260,92.7467284797559
261,-12.521809991906691
262,-17.052846198605735
263,-13.10575000826525
264,-12.332171143253227
265,-14.653780139818538
266,86.96134754428256
267,-16.144493980987473
268,-14.342287388062156
269,-13.583976403022316
270,-14.917647710328367
271,-15.007899268993734
272,-16.10072797479071
273,-16.177754658288723
274,-14.184329867573236
275,91.79232557051296
276,-11.869759661675326
277,-12.321030343241894
278,89.35060526162925
279,-13.459365789269516
280,-14.801880360649214
281,-14.856347731720792
282,-15.07192845333666
283,-15.002431910280178
284,88.31203479272823
285,90.67457312039917
286,-15.545509670763195
287,-15.8281204987064
